text,label,source
"We received your application
Thank you for applying to the Software Engineer role at Acme. We have received your application and will review it shortly.",applied,synthetic
"Thanks for applying to Stripe
Your application for Backend Engineer has been submitted successfully. No action is needed from you at this time.",applied,synthetic
"Application received — Data Analyst
This confirms we've received your application. Our team reviews every submission and will be in touch.",applied,synthetic
"Your application to Notion has been received
We appreciate your interest in the Product Designer position. Sit tight while we review.",applied,synthetic
"Application confirmation
Hi, this is an automated message confirming your application for the Marketing Associate opening was received.",applied,synthetic
"Thank you for your interest in Databricks
We've received your application for the role of ML Engineer. You'll hear from us if there's a match.",applied,synthetic
"We got your application!
Thanks for applying to the Frontend Developer position at Figma. Your materials are in our system.",applied,synthetic
"Application submitted successfully
Your application for Senior Accountant at Deloitte was submitted. A recruiter may reach out.",applied,synthetic
"thanks for applying
application received for the warehouse associate role. we will review and contact qualified candidates.",applied,synthetic
"Confirmation of your application - Nurse Practitioner
We confirm receipt of your application to Kaiser Permanente. Thank you for your interest.",applied,synthetic
"Your application has been received - Amazon
Thanks for applying. This email confirms we received your application for Operations Manager.",applied,synthetic
"We have received your resume
Thank you for submitting your resume for the Sales Development Rep role. We'll be in touch.",applied,synthetic
"Application received: Mechanical Engineer
This is to confirm that Boeing has received your application. No further action is required now.",applied,synthetic
"Thanks for your application to Shopify
We've got it! Your application for the Growth Marketer role is now under review.",applied,synthetic
"Received: your application for UX Researcher
Thank you for applying. We received your application and our team will review it carefully.",applied,synthetic
"Application successfully submitted
You applied to the Financial Analyst position at JPMorgan. This email confirms your submission.",applied,synthetic
"Thank you for applying - Google
We have received your application for the role of Site Reliability Engineer. We appreciate your interest.",applied,synthetic
"Your job application was received
This confirms receipt of your application for Barista at Blue Bottle. Thanks for applying!",applied,synthetic
"We received your application for Teacher
Thank you for your interest in joining our district. Your application has been received.",applied,synthetic
"Application acknowledgement
Acknowledging receipt of your application for the Civil Engineer position. We will review and respond.",applied,synthetic
"Fwd: Your application to Airbnb was received
---------- Forwarded message ---------
Thanks for applying to the Trust & Safety Analyst role, we have your application.",applied,synthetic
"thx for applying
got your app for the line cook position. reviewing now.",applied,synthetic
"Application Received — Pharmacist
CVS Health confirms we received your application. A member of our team will review it.",applied,synthetic
"Your submission is complete
You've successfully applied to the Content Writer role at HubSpot. We received everything.",applied,synthetic
"We've received your application
Thank you for applying to Tesla for the Manufacturing Technician position. Application received.",applied,synthetic
"Confirmation: Graphic Designer application
Thank you! We confirm your application to Canva has been received and logged.",applied,synthetic
"Application received for Project Manager
We appreciate your application. Our recruiters will review it against the requirements.",applied,synthetic
"Thanks — we got your application
Your application for the Customer Success Manager role at Zendesk is in. Thanks for applying.",applied,synthetic
"Your application to Meta has been received
Thank you for your interest in the Research Scientist role. Your application was received.",applied,synthetic
"Application received — thank you
We confirm receipt of your application for the Bank Teller position. We'll be in touch soon.",applied,synthetic
"We received your application for DevOps Engineer
Thanks for applying to Cloudflare. This is an automated confirmation of receipt.",applied,synthetic
"Your application is under review
Thank you for applying to the Registered Nurse role at Mayo Clinic. We received your application.",applied,synthetic
"Received your application - Paralegal
This email confirms we have received your application. No action needed at this time.",applied,synthetic
"Thanks for applying to Airbnb
We've received your application for Software Engineer, Payments. We'll review and reach out if it's a fit.",applied,synthetic
"Application confirmation — Electrician
We confirm receipt of your job application. Our hiring team reviews applications on a rolling basis.",applied,synthetic
"we received your application
thank you for applying to the retail associate position at target. application received.",applied,synthetic
"Interview invitation — Backend Engineer
We were impressed by your application and would like to invite you to a first-round interview. Please pick a time.",update,synthetic
"Let's schedule your interview
Hi! We'd love to move forward with your application. Are you available for a 45-minute technical interview next week?",update,synthetic
"Next steps: onsite interview at Stripe
Congratulations on passing the phone screen. We'd like to invite you to a full onsite loop.",update,synthetic
"Invitation to interview - Product Manager
Thank you for applying. We'd like to schedule a video interview with the hiring manager. Please share your availability.",update,synthetic
"You're moving to the interview round
Great news — the team reviewed your application and wants to interview you. Let's find a time.",update,synthetic
"Fwd: interview scheduling
---------- Forwarded message ---------
The panel is available Thursday or Friday for your final interview. Which works?",update,synthetic
"Online assessment for your application
As the next step in your application, please complete this 60-minute coding assessment within 5 days.",update,synthetic
"Coding challenge - please complete
Thank you for applying. Before we proceed, complete the take-home assessment linked here.",update,synthetic
"Next step: HackerRank assessment
You've advanced in the process! Please complete the online assessment by Friday to continue.",update,synthetic
"Complete your skills assessment
As part of your application, we'd like you to complete a short online assessment. Link inside.",update,synthetic
"Take-home assignment for Data Scientist role
Thanks for your interest. Please complete the attached take-home within one week.",update,synthetic
"Can we hop on a quick call?
Hi, I'm a recruiter at Notion and reviewed your application. Do you have 20 minutes this week for an intro call?",update,synthetic
"Recruiter screen — scheduling
Thanks for applying! I'd like to set up a brief phone screen to learn more about your background.",update,synthetic
"Phone screen request
We'd like to schedule a 30-minute phone screen for the Analyst role. Please reply with times that work.",update,synthetic
"Intro call about your application
A recruiter from Databricks would like to connect regarding the ML Engineer role you applied to.",update,synthetic
"Offer of employment — Software Engineer
We are thrilled to extend you an offer for the Software Engineer position! Details and compensation attached.",update,synthetic
"Congratulations! Your offer from Figma
After a great interview process, we'd like to formally offer you the Product Designer role.",update,synthetic
"We'd like to make you an offer
The team loved meeting you. We're excited to extend an offer for the Marketing Manager position.",update,synthetic
"Your offer letter is ready
Congratulations! Please review and sign your offer letter for the Operations Analyst role.",update,synthetic
"Offer: Senior Data Engineer at Snowflake
We are pleased to offer you the position. Your start date, salary, and equity details are enclosed.",update,synthetic
"Update on your application
Thank you for your interest. After careful review, we've decided to move forward with other candidates.",update,synthetic
"Regarding your application to Google
We appreciate the time you invested. Unfortunately, we won't be proceeding with your application at this time.",update,synthetic
"unfortunately
we've decided not to move forward. thanks for applying and best of luck.",update,synthetic
"An update on your candidacy
After careful consideration, we will not be advancing your application for the Analyst role. We wish you well.",update,synthetic
"Your application status - Amazon
Thank you for applying. We have decided to pursue other candidates whose qualifications more closely match.",update,synthetic
"Thank you for interviewing with us
We enjoyed meeting you, but have decided to move forward with another candidate for this role.",update,synthetic
